"cell_id","CGP.cell.line","CCLE.cell.line","CGP.tissue.type","CCLE.tissue.type","CGP.link","CCLE.link","tissue.type"
"SW1990","SW1990","SW 1990","pancreas","pancreas",1069,951,"pancreas"
"SW403","SW403","SW403",NA,"large_intestine",NA,952,"large_intestine"
"SW48","SW48","SW48","large_intestine","large_intestine",984,954,"large_intestine"
"SW480",NA,"SW480",NA,"large_intestine",NA,953,"large_intestine"
"SW579",NA,"SW579",NA,"thyroid",NA,955,"thyroid"
"SW620","SW620","SW620","large_intestine","large_intestine",640,956,"large_intestine"
"SW626","SW626",NA,"ovary",NA,985,NA,"ovary"
"SW684","SW684",NA,"soft_tissue",NA,986,NA,"soft_tissue"
"SW780","SW780","SW 780","urinary_tract","urinary_tract",433,957,"urinary_tract"
"SW837","SW837","SW837","large_intestine","large_intestine",987,958,"large_intestine"
"SW872","SW872",NA,"soft_tissue",NA,988,NA,"soft_tissue"
"SW900","SW900","SW 900","lung","lung",525,959,"lung"
"SW948","SW948","SW948","large_intestine","large_intestine",989,960,"large_intestine"
"SW954","SW954",NA,"vulva",NA,1131,NA,"vulva"
"SW962","SW962",NA,"vulva",NA,990,NA,"vulva"
"SW982","SW982",NA,"soft_tissue",NA,991,NA,"soft_tissue"
"T-24","T-24","T24","urinary_tract","urinary_tract",506,962,"urinary_tract"
"T3M-10",NA,"T3M-10",NA,"lung",NA,963,"lung"
"T3M-4",NA,"T3M-4",NA,"pancreas",NA,964,"pancreas"
"T47D","T47D","T-47D","breast","breast",623,965,"breast"
"T84","T84","T84","large_intestine","large_intestine",992,966,"large_intestine"
"T98G","T98G","T98G","central_nervous_system","central_nervous_system",442,967,"central_nervous_system"
"TALL-1","TALL-1","TALL-1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",993,968,"haematopoietic_and_lymphoid_tissue"
"TC-32",NA,"TC-32",NA,"bone",NA,969,"bone"
"TC-71",NA,"TC-71",NA,"bone",NA,970,"bone"
"TCC-PAN2",NA,"TCC-PAN2",NA,"pancreas",NA,971,"pancreas"
"TCCSUP","TCCSUP","TCCSUP","urinary_tract","urinary_tract",434,972,"urinary_tract"
"TCO-1","TCO-1",NA,NA,NA,NA,NA,"thyroid"
"TC-YIK","TC-YIK",NA,"cervix",NA,1158,NA,"cervix"
"TE-1","TE-1","TE-1","oesophagus","oesophagus",607,979,"oesophagus"
"TE-10","TE-10","TE-10","oesophagus","oesophagus",608,973,"oesophagus"
"TE-11","TE-11","TE-11","oesophagus","oesophagus",1155,974,"oesophagus"
"TE-12","TE-12",NA,"oesophagus",NA,1157,NA,"oesophagus"
"TE 125.T",NA,"TE 125.T",NA,"soft_tissue",NA,975,"soft_tissue"
"TE-14",NA,"TE-14",NA,"oesophagus",NA,976,"oesophagus"
"TE-15","TE-15","TE-15","oesophagus","oesophagus",602,978,"oesophagus"
"TE 159.T",NA,"TE 159.T",NA,"soft_tissue",NA,977,"soft_tissue"
"TE-161-T","TE-161-T",NA,NA,NA,994,NA,"haematopoietic_and_lymphoid_tissue"
"TE-4",NA,"TE-4",NA,"oesophagus",NA,981,"oesophagus"
"TE 441.T",NA,"TE 441.T",NA,"soft_tissue",NA,980,"soft_tissue"
"TE-5","TE-5","TE-5","oesophagus","oesophagus",526,982,"oesophagus"
"TE-6","TE-6","TE-6","oesophagus","oesophagus",1156,984,"oesophagus"
"TE 617.T",NA,"TE 617.T",NA,"soft_tissue",NA,983,"soft_tissue"
"TE-8","TE-8","TE-8","oesophagus","oesophagus",609,985,"oesophagus"
"TE-9","TE-9","TE-9","oesophagus","oesophagus",1154,986,"oesophagus"
"TEN",NA,"TEN",NA,"endometrium",NA,987,"endometrium"
"TF-1",NA,"TF-1",NA,"haematopoietic_and_lymphoid_tissue",NA,988,"haematopoietic_and_lymphoid_tissue"
"TGBC11TKB","TGBC11TKB","TGBC11TKB","stomach","stomach",997,989,"stomach"
"TGBC1TKB","TGBC1TKB",NA,"biliary_tract",NA,996,NA,"biliary_tract"
"TGBC24TKB","TGBC24TKB",NA,"biliary_tract",NA,1038,NA,"biliary_tract"
"TGW","TGW",NA,"autonomic_ganglia",NA,1053,NA,"autonomic_ganglia"
"THP-1","THP-1","THP-1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",998,990,"haematopoietic_and_lymphoid_tissue"
"TI-73","TI-73","T1-73",NA,"bone",1039,961,"bone"
"TIG-3 TD",NA,"TIG-3 TD",NA,"lung",NA,991,"lung"
"TK10","TK10",NA,"kidney",NA,658,NA,"kidney"
"TM-31",NA,"TM-31",NA,"central_nervous_system",NA,992,"central_nervous_system"
"TO 175.T",NA,"TO 175.T",NA,"haematopoietic_and_lymphoid_tissue",NA,993,"haematopoietic_and_lymphoid_tissue"
"Toledo",NA,"Toledo",NA,"haematopoietic_and_lymphoid_tissue",NA,994,"haematopoietic_and_lymphoid_tissue"
"TOV-112D",NA,"TOV-112D",NA,"ovary",NA,995,"ovary"
"TOV-21G",NA,"TOV-21G",NA,"ovary",NA,996,"ovary"
"TT","TT","TT","thyroid","thyroid",1151,999,"thyroid"
"T.T",NA,"T.T",NA,"oesophagus",NA,998,"oesophagus"
"TT2609-C02",NA,"TT2609-C02",NA,"thyroid",NA,997,"thyroid"
"TUHR10TKB",NA,"TUHR10TKB",NA,"kidney",NA,1000,"kidney"
"TUHR14TKB",NA,"TUHR14TKB",NA,"kidney",NA,1001,"kidney"
"TUHR4TKB",NA,"TUHR4TKB",NA,"kidney",NA,1002,"kidney"
"TUR","TUR",NA,"haematopoietic_and_lymphoid_tissue",NA,999,NA,"haematopoietic_and_lymphoid_tissue"
"TYK-nu","TYK-nu","TYK-nu","ovary","ovary",1000,1003,"ovary"
"U031","U031",NA,"kidney",NA,659,NA,"kidney"
"U-118-MG","U-118-MG","U-118 MG","central_nervous_system","central_nervous_system",443,1004,"central_nervous_system"
"U-138 MG",NA,"U-138 MG",NA,"central_nervous_system",NA,1005,"central_nervous_system"
"U-178",NA,"U-178",NA,"central_nervous_system",NA,1006,"central_nervous_system"
"U251","U251","U-251 MG","central_nervous_system","central_nervous_system",661,1007,"central_nervous_system"
"U-266","U-266","U266B1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",603,1008,"haematopoietic_and_lymphoid_tissue"
"U-2-OS","U-2-OS","U-2 OS",NA,"bone",1001,1009,"bone"
"U343",NA,"U343",NA,"central_nervous_system",NA,1010,"central_nervous_system"
"U-698-M","U-698-M",NA,"haematopoietic_and_lymphoid_tissue",NA,1002,NA,"haematopoietic_and_lymphoid_tissue"
"U-87-MG","U-87-MG","U-87 MG","central_nervous_system","central_nervous_system",444,1011,"central_nervous_system"
"U-937",NA,"U-937",NA,"haematopoietic_and_lymphoid_tissue",NA,1012,"haematopoietic_and_lymphoid_tissue"
"UACC-257","UACC-257","UACC-257","skin","skin",655,1013,"skin"
"UACC-62","UACC-62","UACC-62","skin","skin",654,1014,"skin"
"UACC-812","UACC-812","UACC-812",NA,"breast",1070,1015,"breast"
"UACC-893",NA,"UACC-893",NA,"breast",NA,1016,"breast"
"U-BLC1",NA,"U-BLC1",NA,"urinary_tract",NA,1017,"urinary_tract"
"UMC-11","UMC-11",NA,"lung",NA,1004,NA,"lung"
"UMRC2",NA,"UMRC2",NA,"kidney",NA,1018,"kidney"
"UMRC6",NA,"UMRC6",NA,"kidney",NA,1019,"kidney"
"UM-UC-1",NA,"UM-UC-1",NA,"urinary_tract",NA,1020,"urinary_tract"
"UM-UC-3","UM-UC-3","UM-UC-3","urinary_tract","urinary_tract",511,1021,"urinary_tract"
"UOK101",NA,"UOK101",NA,"kidney",NA,1022,"kidney"
"UT-7",NA,"UT-7",NA,"haematopoietic_and_lymphoid_tissue",NA,1023,"haematopoietic_and_lymphoid_tissue"
"VA-ES-BJ","VA-ES-BJ",NA,"bone",NA,495,NA,"bone"
"VCaP",NA,"VCaP",NA,"prostate",NA,1024,"prostate"
"VM-CUB-1","VM-CUB-1","VM-CUB1","urinary_tract","urinary_tract",1005,1025,"urinary_tract"
"VMRC-LCD",NA,"VMRC-LCD",NA,"lung",NA,1026,"lung"
"VMRC-LCP",NA,"VMRC-LCP",NA,"lung",NA,1027,"lung"
"VMRC-MELG","VMRC-MELG",NA,"skin",NA,1153,NA,"skin"
"VMRC-RCW",NA,"VMRC-RCW",NA,"kidney",NA,1028,"kidney"
"VMRC-RCZ","VMRC-RCZ","VMRC-RCZ","kidney","kidney",1006,1029,"kidney"
"WERI-Rb-1","WERI-Rb-1",NA,"eye",NA,1007,NA,"eye"
"WM-115","WM-115","WM-115","skin","skin",1008,1030,"skin"
"WM1799",NA,"WM1799",NA,"skin",NA,1031,"skin"
"WM-266-4",NA,"WM-266-4",NA,"skin",NA,1032,"skin"
"WM-793",NA,"WM-793",NA,"skin",NA,1033,"skin"
"WM-88",NA,"WM-88",NA,"skin",NA,1034,"skin"
"WM-983B",NA,"WM-983B",NA,"skin",NA,1035,"skin"
"WSU-DLCL2",NA,"WSU-DLCL2",NA,"haematopoietic_and_lymphoid_tissue",NA,1036,"haematopoietic_and_lymphoid_tissue"
"WSU-NHL","WSU-NHL",NA,"haematopoietic_and_lymphoid_tissue",NA,1009,NA,"haematopoietic_and_lymphoid_tissue"
"YAPC","YAPC","YAPC","pancreas","pancreas",1010,1037,"pancreas"
"YD-10B",NA,"YD-10B",NA,"upper_aerodigestive_tract",NA,1038,"upper_aerodigestive_tract"
"YD-15",NA,"YD-15",NA,"salivary_gland",NA,1039,"salivary_gland"
"YD-38",NA,"YD-38",NA,"upper_aerodigestive_tract",NA,1040,"upper_aerodigestive_tract"
"YD-8",NA,"YD-8",NA,"upper_aerodigestive_tract",NA,1041,"upper_aerodigestive_tract"
"YH-13","YH-13","YH-13","central_nervous_system","central_nervous_system",1011,1042,"central_nervous_system"
"YKG-1","YKG-1","YKG1","central_nervous_system","central_nervous_system",445,1043,"central_nervous_system"
"YMB-1",NA,"YMB-1",NA,"breast",NA,1044,"breast"
"ZR-75-1",NA,"ZR-75-1",NA,"breast",NA,1045,"breast"
"ZR-75-30","ZR-75-30","ZR-75-30","breast","breast",1012,1046,"breast"
